decision,raw_name,receipt_price,rank,score,evidence,catalog_name,brand,pack_size,catalog_price,article_number,url
,JT K?chent?cher 3-la,2.75,1,4.7,search#2 brand:jeden+tag,Küchentücher 4 x 64 Blatt,Jeden Tag,"256 Blatt (1,04 € / 1 Blatt)",2.65,4306188051824,https://produkte.globus.de/kueche-haushalt/kuechenzubehoer/kuechenrollen/4306188051824/kuechentuecher-4-x-64-blatt
,JT K?chent?cher 3-la,2.75,2,3.0,search#1,Küchentücher Premium,clino!,"204 Blatt (1,45 € / 1 Blatt)",2.95,4304218629937,https://produkte.globus.de/kueche-haushalt/kuechenzubehoer/kuechenrollen/4304218629937/kuechentuecher-premium
,JT K?chent?cher 3-la,2.75,3,2.4,search#3,Küchentücher Mega Pack,clino!,"408 Blatt (1,10 € / 1 Blatt)",4.49,4304218629913,https://produkte.globus.de/kueche-haushalt/kuechenzubehoer/kuechenrollen/4304218629913/kuechentuecher-mega-pack
,JT Magerquark 250g,1.38,1,6.4,search#3 brand:jeden+tag size:250g,Speisequark Magerstufe,Jeden Tag,"0,25 kg (2,76 € / 1 kg)",0.69,4306188367314,https://produkte.globus.de/milchprodukte-eier/milch-molkereiprodukte/quark/4306188367314/speisequark-magerstufe
,JT Magerquark 250g,1.38,2,6.0,search#1 name:magerquark size:250g,"Magerquark, 0,3% Fett",Hansano,"0,25 kg (3,96 € / 1 kg)",0.99,4016241040015,https://produkte.globus.de/milchprodukte-eier/milch-molkereiprodukte/quark/4016241040015/magerquark-0-3-fett
,JT Magerquark 250g,1.38,3,4.7,search#2 size:250g,"Speisequark, Magerstufe",Frankenland,"0,25 kg (3,56 € / 1 kg)",0.89,40409597,https://produkte.globus.de/milchprodukte-eier/milch-molkereiprodukte/quark/40409597/speisequark-magerstufe
,JT Mozzarella gerieb,1.69,1,5.1,search#4 name:mozzarella brand:jeden+tag,"Mozzarella, gerieben",Jeden Tag,"0,25 kg (6,36 € / 1 kg)",,4306188407508,https://produkte.globus.de/milchprodukte-eier/kaese/reibekaese/4306188407508/mozzarella-gerieben
,JT Mozzarella gerieb,1.69,2,4.0,search#1 name:mozzarella,"Mozzarella, gerieben, ideal für Pizza",Galbani,"0,15 kg (19,27 € / 1 kg)",2.89,3228023240020,https://produkte.globus.de/milchprodukte-eier/kaese/reibekaese/3228023240020/mozzarella-gerieben-ideal-fuer-pizza
,JT Mozzarella gerieb,1.69,3,3.7,search#2 name:mozzarella,"Mozzarella gerieben, Original",Goldsteig,"0,2 kg (13,45 € / 1 kg)",2.69,4008432027103,https://produkte.globus.de/milchprodukte-eier/kaese/reibekaese/4008432027103/mozzarella-gerieben-original
,JT Salami Edelschim,1.99,1,6.0,search#1 name:salami brand:jeden+tag,Salami Edelschimmel,Jeden Tag,"0,13 kg (15,12 € / 1 kg)",1.89,4306188062493,https://produkte.globus.de/fleisch-wurst/wurst-aufschnitt/salami-paprikawurst/4306188062493/salami-edelschimmel
,JT Salami Edelschim,1.99,2,3.7,search#2 name:salami,Trüffel-Salami mit Edelschimmel,Wiltmann,"0,08 kg (28,63 € / 1 kg)",2.29,4001956212086,https://produkte.globus.de/fleisch-wurst/wurst-aufschnitt/salami-paprikawurst/4001956212086/trueffel-salami-mit-edelschimmel
,JT Salami Edelschim,1.99,3,3.1,search#4 name:salami,"Edelschimmel-Salami, grob",Stockmeyer,"0,15 kg (18,60 € / 1 kg)",,4006639029203,https://produkte.globus.de/fleisch-wurst/wurst-aufschnitt/salami-paprikawurst/4006639029203/edelschimmel-salami-grob
