decision;raw_name;receipt_price;rank;score;evidence;catalog_name;brand;pack_size;catalog_price;article_number;url
;Snack Minis Schoko 3;2.99;3;3.33;name:snack brand:snack;Frucht Snack Cranberries;Farmer's Snack;0,2 kg (19,95 € / 1 kg);3.99;4010442455050;https://produkte.globus.de/obst-gemuese/trockenobst-nuesse-kerne/trockenobst/4010442455050/frucht-snack-cranberries
;T?rt SchokBrownie 40;2.99;-;;no candidate;;;;;;
;Tempo Box Duo;3.69;1;1.33;name:duo;Weichkäse-Scheiben, cremig-zartes Duo;Géramont;0,14 kg (14,21 € / 1 kg);;3090291118468;https://produkte.globus.de/milchprodukte-eier/kaese/kaesescheiben/3090291118468/weichkaese-scheiben-cremig-zartes-duo
;Tempo Box Duo;3.69;2;1.33;name:duo;Käsescheiben Duo, Classic & Caractére;Fol Epi;0,12 kg (12,42 € / 1 kg);1.49;3090291122809;https://produkte.globus.de/milchprodukte-eier/kaese/kaesescheiben/3090291122809/kaesescheiben-duo-classic-caractere
;Tempo Box Duo;3.69;3;1.33;name:duo;Klleiner Duo Kuchensnack;Dr. Oetker;0,14 kg (17,79 € / 1 kg);2.49;4000521037352;https://produkte.globus.de/brot-backwaren-fruehstueck/brot-backwaren/backwaren/4000521037352/klleiner-duo-kuchensnack
y;Tomaten San Marzano;0.57;1;2.67;name:marzano+san;Flaschentomaten San Marzano, lose;;1 kg (4,99 € / 1 kg);4.99;2002085217005;https://produkte.globus.de/obst-gemuese/frisches-gemuese/tomaten/2002085217005/flaschentomaten-san-marzano-lose
;Tomaten San Marzano;0.57;2;1.33;name:tomaten;Kumato Tomaten, lose;;1 kg (4,99 € / 1 kg);4.99;2000489760004;https://produkte.globus.de/obst-gemuese/frisches-gemuese/tomaten/2000489760004/kumato-tomaten-lose
;Tomaten San Marzano;0.57;3;1.33;name:tomaten;Tomaten getrocknet, Schale;;0,2 kg (14,95 € / 1 kg);2.99;2070000094543;https://produkte.globus.de/obst-gemuese/frisches-gemuese/tomaten/2070000094543/tomaten-getrocknet-schale
;Valle Secreto Verdot;7.0;-;;no candidate;;;;;;
y;Weizenbr?tchen 10er;1.39;1;3.83;name:10er size:10piece price:1.39;Weizenbrötchen ,10er (10x 1,000 Stück);GLOBUS Meisterbäckerei;10 Stk (0,14 € / 1 Stk);1.39;2001609657037;https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/brot-broetchen/2001609657037/weizenbroetchen-10er-10x-1-000-stueck
;Weizenbr?tchen 10er;1.39;2;3.33;name:10er size:10piece;Vanillinzucker 10er;RUF;10 Stk (0,03 € / 1 Stk);0.26;40352817;https://produkte.globus.de/brot-backwaren-fruehstueck/backzutaten/klassische-backzutaten/40352817/vanillinzucker-10er
;Weizenbr?tchen 10er;1.39;3;1.33;name:10er;Frischkäse Brotaufstrich mit Sahne, 10er;Kiri;0,18 kg (22,17 € / 1 kg);3.99;3073780148030;https://produkte.globus.de/milchprodukte-eier/kaese/frischkaese/3073780148030/frischkaese-brotaufstrich-mit-sahne-10er
;ff Cracker Chilli NP;1.25;1;2.0;name:chilli;Beemster Chilli, Holländischer Schnittkäse;Beemster;1 kg (19,90 € / 1 kg);19.9;282115;https://produkte.globus.de/milchprodukte-eier/kaesetheke/schnittkaese/282115/beemster-chilli-hollaendischer-schnittkaese
;ff Cracker Chilli NP;1.25;2;2.0;name:chilli;Fromager d'affinois Paprika Chilli;GLOBUS Käsetheke;1 kg (27,90 € / 1 kg);27.9;282133;https://produkte.globus.de/milchprodukte-eier/kaese/weichkaese/282133/fromager-d-affinois-paprika-chilli
;ff Cracker Chilli NP;1.25;3;2.0;name:cracker;High Protein Linsen Cracker, Tomate & Paprika;Reis-Fit;0,04 kg (49,75 € / 1 kg);1.99;4006237642507;https://produkte.globus.de/brot-backwaren-fruehstueck/brot-backwaren/knaeckebrot-reiswaffeln-zwieback/4006237642507/high-protein-linsen-cracker-tomate-paprika
